verb,count,noun,count,adj,count,adv,count
wissen,11815.0,Mann,6814,gut,2318.0,mal,8605.0
sehen,10721.0,Frau,4473,letzter,1867.0,bitte,4286.0
sagen,7576.0,Danke,3869,alt,1649.0,einfach,3048.0
denken,5655.0,Leben,3421,geht's,1226.0,sicher,3029.0
finden,4436.0,Haus,3054,nächster,945.0,genau,2659.0
glauben,4375.0,Herr,2972,schön,929.0,weg,2570.0
lassen,4088.0,Leute,2936,lhr,840.0,raus,2220.0
tun,4071.0,Sir,2918,einzig,738.0,klar,2177.0
hören,4045.0,Geld,2848,jung,718.0,schön,2165.0
brauchen,3765.0,Freund,2845,richtig,710.0,schnell,2000.0
geben,3284.0,Gott,2803,neu,555.0,tot,1490.0
nehmen,3102.0,Vater,2796,dein,553.0,rein,1481.0
kommen,3079.0,Kind,2641,toll,503.0,leid,1468.0
reden,3043.0,Mensch,2304,falsch,471.0,fertig,1363.0
kennen,2951.0,Mr.,2292,verdammt,454.0,wieso,1222.0
stehen,2939.0,Nacht,2115,arm,445.0,egal,1185.0
bleiben,2895.0,Junge,2115,groß,434.0,sofort,1089.0
bringen,2851.0,Mutter,1870,schlecht,432.0,fast,1020.0
halten,2803.0,Sache,1869,halb,401.0,dran,991.0
verstehen,2740.0,Ordnung,1736,gleich,374.0,eigentlich,979.0
warten,2552.0,Name,1727,hoch,361.0,bereit,938.0
sprechen,2516.0,Welt,1726,echt,357.0,vorbei,934.0
weißen,2411.0,Weg,1696,wichtig,329.0,spät,912.0
gehören,2392.0,Angst,1679,bissch,318.0,sogar,901.0
machen,2390.0,Hand,1650,lang,312.0,verrückt,886.0
helfen,2323.0,Ding,1635,nett,308.0,schuldig,884.0
passieren,2279.0,Abend,1590,anderer,286.0,woher,883.0
Komm,2218.0,Problem,1588,lieb,249.0,gerne,864.0
lieben,2148.0,Moment,1569,weiß,246.0,ruhig,816.0
fahren,2004.0,Frage,1554,schwarz,246.0,schwer,813.0
spielen,1895.0,Mädchen,1478,heilig,245.0,alt,809.0
sterben,1869.0,Minute,1437,wahr,242.0,runter,791.0
fragen,1814.0,Stunde,1430,kurz,225.0,manchmal,756.0
versuchen,1808.0,Leid,1409,hübsch,220.0,bloß,755.0
suchen,1801.0,Auge,1336,rot,217.0,wichtig,745.0
töten,1718.0,Arbeit,1305,stark,215.0,draußen,725.0
arbeiten,1698.0,He,1303,eur,214.0,nett,706.0
stimmen,1668.0,Mal,1291,blöd,213.0,ziemlich,685.0
leben,1658.0,Hör,1248,besonderer,207.0,unten,681.0
gehen,1574.0,Wort,1227,normal,206.0,gestern,675.0
erzählen,1545.0,Sorge,1204,voll,206.0,echt,646.0
laufen,1544.0,Hilfe,1198,tot,204.0,toll,621.0
verlieren,1517.0,Typ,1191,gewiß,201.0,frei,619.0
Tut,1472.0,Woche,1179,menschlich,201.0,warst,601.0
vergessen,1448.0,Tür,1165,gesamt,193.0,überall,590.0
bekommen,1434.0,Fall,1160,amerikanisch,193.0,glücklich,586.0
liegen,1410.0,Glück,1158,hart,192.0,glaubst,578.0
treffen,1407.0,Musik,1147,deinen,191.0,wahrscheinlich,576.0
kriegen,1383.0,Kopf,1126,seltsam,183.0,falsch,573.0
fallen,1349.0,Captain,1126,frei,183.0,drauf,566.0
schaffen,1283.0,Bruder,1115,persönlich,182.0,hierher,559.0
zeigen,1231.0,Liebe,1108,schwer,180.0,niemals,559.0
danken,1218.0,Sohn,1102,1.,179.0,langsam,554.0
rufen,1175.0,Waffe,1092,dumm,175.0,früh,543.0
stellen,1160.0,Familie,1052,böse,174.0,schlimm,538.0
nennen,1134.0,Schiff,1048,bisschen,170.0,völlig,531.0
setzen,1121.0,Tod,1038,schrecklich,166.0,fest,511.0
trinken,1084.0,Ruhe,1028,wild,153.0,wohin,476.0
sitzen,1080.0,Grund,1013,schlimm,148.0,genauso,456.0
fühlen,1075.0,Idee,1009,perfekt,148.0,Wieso,452.0
hoffen,1056.0,Stadt,1005,komisch,146.0,direkt,450.0
holen,1053.0,Geschichte,991,einfach,144.0,still,449.0
schlafen,985.0,Job,966,wunderbar,144.0,krank,440.0
